Scenes,Models,Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Match,TP,FP
scenes/h1.jpg,models/11.jpg,0.035,2.5,0.4,14,26,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.4,14,25,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.4,14,15,1,0
scenes/h1.jpg,models/14.jpg,0.035,2.5,0.4,14,22,1,0
scenes/h1.jpg,models/15.jpg,0.035,2.5,0.4,14,32,1,0
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.4,14,17,0,1
scenes/h1.jpg,models/18.jpg,0.035,2.5,0.4,14,47,1,0
scenes/h1.jpg,models/19.jpg,0.035,2.5,0.4,14,40,1,0
scenes/h1.jpg,models/22.jpg,0.035,2.5,0.4,14,15,0,1
scenes/h1.jpg,models/0.jpg,0.035,3.0,0.25,13,18,1,0
scenes/h1.jpg,models/1.jpg,0.035,3.0,0.25,13,22,0,1
scenes/h1.jpg,models/2.jpg,0.035,3.0,0.25,13,17,1,0
scenes/h1.jpg,models/2.jpg,0.035,3.0,0.25,13,23,1,0
scenes/h1.jpg,models/3.jpg,0.035,3.0,0.25,13,32,1,0
scenes/h1.jpg,models/3.jpg,0.035,3.0,0.25,13,21,1,0
scenes/h1.jpg,models/4.jpg,0.035,3.0,0.25,13,23,1,0
scenes/h1.jpg,models/5.jpg,0.035,3.0,0.25,13,16,1,0
scenes/h1.jpg,models/7.jpg,0.035,3.0,0.25,13,35,1,0
scenes/h1.jpg,models/7.jpg,0.035,3.0,0.25,13,28,1,0
scenes/h1.jpg,models/7.jpg,0.035,3.0,0.25,13,21,0,1
scenes/h1.jpg,models/8.jpg,0.035,3.0,0.25,13,14,1,0
scenes/h1.jpg,models/14.jpg,0.035,3.0,0.25,13,30,1,0
scenes/h1.jpg,models/14.jpg,0.035,3.0,0.25,13,27,1,0
scenes/h1.jpg,models/15.jpg,0.035,3.0,0.25,13,30,1,0
scenes/h1.jpg,models/18.jpg,0.035,3.0,0.25,13,39,1,0
scenes/h1.jpg,models/18.jpg,0.035,3.0,0.25,13,16,0,1
scenes/h1.jpg,models/19.jpg,0.035,3.0,0.25,13,37,1,0
scenes/h1.jpg,models/22.jpg,0.035,3.0,0.25,13,20,0,1
scenes/h1.jpg,models/0.jpg,0.035,3.0,0.25,14,18,1,0
scenes/h1.jpg,models/1.jpg,0.035,3.0,0.25,14,22,0,1
scenes/h1.jpg,models/2.jpg,0.035,3.0,0.25,14,17,1,0
scenes/h1.jpg,models/2.jpg,0.035,3.0,0.25,14,23,1,0
scenes/h1.jpg,models/3.jpg,0.035,3.0,0.25,14,32,1,0
scenes/h1.jpg,models/3.jpg,0.035,3.0,0.25,14,21,1,0
scenes/h1.jpg,models/4.jpg,0.035,3.0,0.25,14,23,1,0
scenes/h1.jpg,models/5.jpg,0.035,3.0,0.25,14,16,1,0
scenes/h1.jpg,models/7.jpg,0.035,3.0,0.25,14,35,1,0
scenes/h1.jpg,models/7.jpg,0.035,3.0,0.25,14,28,1,0
scenes/h1.jpg,models/7.jpg,0.035,3.0,0.25,14,21,0,1
scenes/h1.jpg,models/14.jpg,0.035,3.0,0.25,14,30,1,0
scenes/h1.jpg,models/14.jpg,0.035,3.0,0.25,14,27,1,0
scenes/h1.jpg,models/15.jpg,0.035,3.0,0.25,14,30,1,0
scenes/h1.jpg,models/18.jpg,0.035,3.0,0.25,14,39,1,0
scenes/h1.jpg,models/18.jpg,0.035,3.0,0.25,14,16,0,1
scenes/h1.jpg,models/19.jpg,0.035,3.0,0.25,14,37,1,0
scenes/h1.jpg,models/22.jpg,0.035,3.0,0.25,14,20,0,1
